id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1437956103015256064,1437956103015256064,2021-09-14 20:47:05 CDT,2021-09-14,20:47:05,-0500,17338082,tmobile,T-Mobile,,"The powerful iPhone 13 Pro is coming!  What's better than getting the new iPhone 13 Pro ON US now? Getting a new iPhone every 2 years, forever. Like forever-ever.   Forever begins 9.17 only from T-Mobile.",en,[],[],[],44,42,192,[],[],https://twitter.com/TMobile/status/1437956103015256064,False,,0,,,,,,,,[],,,,
1437954047194148864,1437954047194148864,2021-09-14 20:38:55 CDT,2021-09-14,20:38:55,-0500,1253459831404613632,sanmemero,San Memero 🇨🇺,,"Diferencias entre el iPhone 13 y el 12:  1. Es más caro. 2. Mira, es 13. 3. ¿Ya dije que era más caro? 4. Bueno, al menos no es android.",es,[],[],[],13,11,183,[],[],https://twitter.com/SanMemero/status/1437954047194148864,False,,0,,,,,,,,[],,,,
1437952133123297281,1437952133123297281,2021-09-14 20:31:19 CDT,2021-09-14,20:31:19,-0500,1065040351,ihrvortrag,𝓝,,iPhone 12 users upgraded to iPhone 13 be like :  #AppleEvent  https://t.co/6Z4nNS1W7L,en,[],[],['https://pbs.twimg.com/media/E_Sh1rBUUAAIak7.jpg'],4,236,500,['appleevent'],[],https://twitter.com/IhrVortrag/status/1437952133123297281,False,,1,https://pbs.twimg.com/media/E_Sh1rBUUAAIak7.jpg,,,,,,,[],,,,
1437951699923001344,1437951699923001344,2021-09-14 20:29:35 CDT,2021-09-14,20:29:35,-0500,830695053118943232,universeice,Ice universe,,"The iPhone 13 series is released, which one do you plan to buy?",en,[],[],[],105,7,170,[],[],https://twitter.com/UniverseIce/status/1437951699923001344,False,,0,,,,,,,,[],,,,
1437948820357324802,1437948820357324802,2021-09-14 20:18:09 CDT,2021-09-14,20:18:09,-0500,29873662,mkbhd,Marques Brownlee,,NEW VIDEO - My reaction to the iPhone 13 lineup and what was announced today in 11 minutes:  https://t.co/SYHFfcOrOf  https://t.co/rcZgnMopZJ,en,[],['https://youtu.be/C4sAUc_ZGMY'],['https://pbs.twimg.com/media/E_Se1DwWEAUIPHu.jpg'],61,140,1882,[],[],https://twitter.com/MKBHD/status/1437948820357324802,False,,1,https://pbs.twimg.com/media/E_Se1DwWEAUIPHu.jpg,,,,,,,[],,,,
1437947027841695745,1437947027841695745,2021-09-14 20:11:01 CDT,2021-09-14,20:11:01,-0500,929274077323259905,nuicemedia,Nuice Media,,"New toys to want from last night’s #AppleEvent. Which one got you most excited, the redesigned iPad mini, the thinner and heavily improved Watch, the iPhone 13 with cinematic mode, or the iPhone 13 Pro with macro lens, ProMotion, and ProRes?  https://t.co/wN56YeEybY",en,[],[],"['https://pbs.twimg.com/media/E_SdMY1VcAAmM3w.jpg', 'https://pbs.twimg.com/media/E_SdMY3VUAAZxgt.jpg', 'https://pbs.twimg.com/media/E_SdMY3VEAEOyCr.jpg', 'https://pbs.twimg.com/media/E_SdMY2UcAEzCkM.jpg']",16,38,170,['appleevent'],[],https://twitter.com/nuicemedia/status/1437947027841695745,False,,1,https://pbs.twimg.com/media/E_SdMY1VcAAmM3w.jpg,,,,,,,[],,,,
1437946172996472832,1437946172996472832,2021-09-14 20:07:38 CDT,2021-09-14,20:07:38,-0500,1011944444747243520,zattarrafael,Rafael Zattar,,"Agora que a Apple lançou o Iphone 13, vou esperar o 12 baixar pra eu comprar o 11.",pt,[],[],[],23,8,216,[],[],https://twitter.com/ZattarRafael/status/1437946172996472832,False,,0,,,,,,,,[],,,,
1437944168819560451,1437944168819560451,2021-09-14 19:59:40 CDT,2021-09-14,19:59:40,-0500,126124275,tldtoday,Jonathan Morrison 🙋🏻‍♂️,,re: iPhone 13 pro/pro max 128GB being capped at 1080 for Pro Res  Makes sense on paper because of sheer file size but the small print move on it is dumb.  Most people buying for pro res are getting 512/1TB but still  Solution would have been double the base up to 256GB no charge,en,[],[],[],9,8,252,[],[],https://twitter.com/tldtoday/status/1437944168819560451,False,,0,,,,,,,,[],,,,
1437940921220354052,1437940921220354052,2021-09-14 19:46:45 CDT,2021-09-14,19:46:45,-0500,1130229698489913349,srie49205151,AMORZINHA,,Eu e o povo do Twitter curtindo e decurtindo só pra ver a maçã do iPhone 13   #AppleEvent  https://t.co/pv60mmDHGA,pt,[],[],[],0,11,207,['appleevent'],[],https://twitter.com/Srie49205151/status/1437940921220354052,False,,1,https://pbs.twimg.com/ext_tw_video_thumb/1437938691855486978/pu/img/CHS8oorOjdti0M9e.jpg,,,,,,,[],,,,
1437940910931595264,1437940910931595264,2021-09-14 19:46:43 CDT,2021-09-14,19:46:43,-0500,41464206,tomoyamx,Tomoya,,iPhone 13のディスプレイ説明の英語→日本語、どうしてこうなった  https://t.co/qOkrkRZv7g,ja,[],[],"['https://pbs.twimg.com/media/E_SXoqjVQAAABfC.jpg', 'https://pbs.twimg.com/media/E_SXo2gVQAIkNPn.jpg']",1,120,194,[],[],https://twitter.com/Tomoyamx/status/1437940910931595264,False,,1,https://pbs.twimg.com/media/E_SXoqjVQAAABfC.jpg,,,,,,,[],,,,
