id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1437449683262189570,1437449683262189570,2021-09-13 11:14:45 CDT,2021-09-13,11:14:45,-0500,1371418970956369921,sxmmxrboy,Jonathan 🍉,,Je suis si dégoûté demain je pourrais même pas suivre la #WWDC21 en direct alors que c’est limite une tradition !,fr,[],[],[],0,0,0,['wwdc21'],[],https://twitter.com/Sxmmxrboy/status/1437449683262189570,False,,0,,,,,,,,[],,,,
1437441328175013896,1437441328175013896,2021-09-13 10:41:33 CDT,2021-09-13,10:41:33,-0500,202542227,igitalia,IGItalia,,"Nuova puntata di #IGLookAhead con @FADiodovich_IG dedicata ai #datimacro statunitensi 🇺🇸, all'#AppleEvent #WWDC21, all'#inflazione e a tanti altri argomenti dell'agenda economica settimanale. Guarda subito il video integrale 👇   https://t.co/yRt56LhXBe",it,"[{'screen_name': 'fadiodovich_ig', 'name': 'filippo a. diodovich', 'id': '72502106'}]",['https://youtu.be/SDYmtNQ2JZ8'],[],0,0,0,"['iglookahead', 'datimacro', 'appleevent', 'wwdc21', 'inflazione']",[],https://twitter.com/IGItalia/status/1437441328175013896,False,,0,,,,,,,,[],,,,
1437437793664335880,1437437178389274624,2021-09-13 10:27:30 CDT,2021-09-13,10:27:30,-0500,129489626,ko_ze_,KOZE,,ActorとかのConcurrency周りは6月に見たけど日本語字幕でもう一度見ようかな。 Protect mutable state with Swift actors  https://t.co/oGWJ2iOCK1 #WWDC21 #Swift,ja,[],['https://developer.apple.com/videos/play/wwdc2021/10133/'],[],0,0,0,"['wwdc21', 'swift']",[],https://twitter.com/ko_ze_/status/1437437793664335880,False,,0,,,,,,,,[],,,,
1437437178389274624,1437437178389274624,2021-09-13 10:25:04 CDT,2021-09-13,10:25:04,-0500,129489626,ko_ze_,KOZE,,#WWDC21 のビデオの一部に日本語字幕が付いた様なので勉強してる。#CoreData Bring Core Data concurrency to Swift and SwiftUI  https://t.co/ycIRzHNNo7,ja,[],['https://developer.apple.com/videos/play/wwdc2021/10017'],[],1,0,0,"['wwdc21', 'coredata']",[],https://twitter.com/ko_ze_/status/1437437178389274624,False,,0,,,,,,,,[],,,,
1437429268372353025,1437429268372353025,2021-09-13 09:53:38 CDT,2021-09-13,09:53:38,-0500,798816948070907904,newmind24,Setyo H,,Demo warga Perancis menolak vaksin paksa Sumber chanel  https://t.co/AfT2ke3xvd  #WWDC21  #plandemi #freedomrally  Klaten  https://t.co/jcFI5v73WW,in,[],['https://t.me/worldwidedemonstrationmedia'],[],0,1,0,"['wwdc21', 'plandemi', 'freedomrally']",[],https://twitter.com/Newmind24/status/1437429268372353025,False,,1,https://pbs.twimg.com/ext_tw_video_thumb/1437429126609080325/pu/img/nkNH_eVdnJgyX7EK.jpg,,,,,,,[],,,,
1437425322803097601,1437425322803097601,2021-09-13 09:37:57 CDT,2021-09-13,09:37:57,-0500,417590673,thedevme,Craig,,Since #WWDC21 Ive wanted to focus on more accessibility but not just VO but Dynamic type as well. Been doing a lot of research on Dynamic Type adaptive layout in #SwiftUI &amp; I have found it fascinating on some of the techniques Ive learned. Excited to share them in a workshop soon  https://t.co/EaIkL1o1Oa,en,[],[],['https://pbs.twimg.com/tweet_video_thumb/E_LCtDbX0AYhTeO.jpg'],0,0,4,"['wwdc21', 'swiftui']",[],https://twitter.com/thedevme/status/1437425322803097601,False,,1,https://pbs.twimg.com/tweet_video_thumb/E_LCtDbX0AYhTeO.jpg,,,,,,,[],,,,
1437415788315619330,1437415788315619330,2021-09-13 09:00:04 CDT,2021-09-13,09:00:04,-0500,2613554377,bitrise,Bitrise,,"This is how we prepared for the previous #AppleEvent, #WWDC21 and it's still one of our favorite projects. 👉  https://t.co/M2CdrmAVtn  This time we’ll just make some popcorn 🍿 but still pretty excited about what tomorrow brings! How about you? 👀  #throwback #iosdev  https://t.co/8MyCPob4KY",en,[],['https://youtube.com/playlist?list=PLbKJc0NMPDrAFqAhPPUkCRzvBTlraB5p-'],['https://pbs.twimg.com/media/E_K6CMtXEAoZT9y.jpg'],0,1,1,"['appleevent', 'wwdc21', 'throwback', 'iosdev']",[],https://twitter.com/bitrise/status/1437415788315619330,False,,1,https://pbs.twimg.com/media/E_K6CMtXEAoZT9y.jpg,,,,,,,[],,,,
1437405350144077824,1437405350144077824,2021-09-13 08:18:35 CDT,2021-09-13,08:18:35,-0500,720561806582743040,wwdc21,閑人,,近所にTeslaの車があってびっくりした,ja,[],[],[],0,0,1,[],[],https://twitter.com/wwdc21/status/1437405350144077824,False,,0,,,,,,,,[],,,,
1437404221121302533,1437404221121302533,2021-09-13 08:14:06 CDT,2021-09-13,08:14:06,-0500,720561806582743040,wwdc21,閑人,,何も考えずに水分摂取して今更過剰だということに気づいた,ja,[],[],[],0,0,0,[],[],https://twitter.com/wwdc21/status/1437404221121302533,False,,0,,,,,,,,[],,,,
1437388598190518278,1437388598190518278,2021-09-13 07:12:01 CDT,2021-09-13,07:12:01,-0500,1095677722016313344,ajsreviews1,aj’s reviews,,"New video up of the WWDC21 of the year so far Apple ""Special"" Event tomorrow 6pm  https://t.co/jzYuIK8xdn",en,[],[],['https://pbs.twimg.com/media/E_KhT3lWEAU8QkD.jpg'],0,0,0,[],[],https://twitter.com/ajsreviews1/status/1437388598190518278,False,,1,https://pbs.twimg.com/media/E_KhT3lWEAU8QkD.jpg,,,,,,,[],,,,
1437385794092769289,1437385794092769289,2021-09-13 07:00:53 CDT,2021-09-13,07:00:53,-0500,1058673916833685504,realjoseph123,Joe,,Happy #AppleEvent Eve - Hope it isn’t underwhelming like WWDC21!,en,[],[],[],2,2,19,['appleevent'],[],https://twitter.com/RealJoseph123/status/1437385794092769289,False,,0,,,,,,,,[],,,,
1437376928512495636,1437376928512495636,2021-09-13 06:25:39 CDT,2021-09-13,06:25:39,-0500,720561806582743040,wwdc21,閑人,,インスタのエフェクトの使い方難しいな,ja,[],[],[],0,0,1,[],[],https://twitter.com/wwdc21/status/1437376928512495636,False,,0,,,,,,,,[],,,,
1437347879421550592,1437347879421550592,2021-09-13 04:30:13 CDT,2021-09-13,04:30:13,-0500,720561806582743040,wwdc21,閑人,,まーじゃんdebutをはたした,ja,[],[],[],0,0,2,[],[],https://twitter.com/wwdc21/status/1437347879421550592,False,,0,,,,,,,,[],,,,
1437347112715313156,1437347112715313156,2021-09-13 04:27:10 CDT,2021-09-13,04:27:10,-0500,720561806582743040,wwdc21,閑人,,藤井聡太強すぎて草,ja,[],[],[],0,0,1,[],[],https://twitter.com/wwdc21/status/1437347112715313156,False,,0,,,,,,,,[],,,,
1437335384447283202,1437335384447283202,2021-09-13 03:40:34 CDT,2021-09-13,03:40:34,-0500,720561806582743040,wwdc21,閑人,,今日は楽しかた,ja,[],[],[],0,0,2,[],[],https://twitter.com/wwdc21/status/1437335384447283202,False,,0,,,,,,,,[],,,,
1437309036941041669,1437253450522193922,2021-09-13 01:55:52 CDT,2021-09-13,01:55:52,-0500,720561806582743040,wwdc21,閑人,,@harmony_Booy やったね!,ja,[],[],[],0,0,1,[],[],https://twitter.com/wwdc21/status/1437309036941041669,False,,0,,,,,,,,"[{'screen_name': 'harmony_Booy', 'name': 'ももももやし', 'id': '1238377901294145537'}]",,,,
1437262458364719110,1437253450522193922,2021-09-12 22:50:47 CDT,2021-09-12,22:50:47,-0500,720561806582743040,wwdc21,閑人,,@harmony_Booy 圧倒的勝利感,ja,[],[],[],1,0,0,[],[],https://twitter.com/wwdc21/status/1437262458364719110,False,,0,,,,,,,,"[{'screen_name': 'harmony_Booy', 'name': 'ももももやし', 'id': '1238377901294145537'}]",,,,
1437260830014271490,1437260830014271490,2021-09-12 22:44:19 CDT,2021-09-12,22:44:19,-0500,1206144127680692224,atarayosd,Yasuhito Nagatomo 🍁🍂🎃,,"Concurrency #WWDC21 🍀 SwiftUI - Review: SwiftUI run loop, blocking, dispatch queues - Use await: in ObservableObject's methods - Use MainActor annotation: for ObservableObject - New items: task modifier, AsyncImage, working with refreshable modifier  https://t.co/CRMxH7PGfN",en,[],['https://developer.apple.com/videos/play/wwdc2021/10019/'],[],1,0,4,['wwdc21'],[],https://twitter.com/AtarayoSD/status/1437260830014271490,False,,0,,,,,,,,[],,,,
1437253450522193922,1437253450522193922,2021-09-12 22:15:00 CDT,2021-09-12,22:15:00,-0500,720561806582743040,wwdc21,閑人,,これはようきゃ,ja,[],[],[],1,0,1,[],[],https://twitter.com/wwdc21/status/1437253450522193922,False,,0,,,,,,,,[],,,,
1437248316312625156,1437248316312625156,2021-09-12 21:54:36 CDT,2021-09-12,21:54:36,-0500,1181386138373820416,toninho08116107,Toninho,,VALE A PENA COMPRAR O IPHONE 6S PLUS EM 2021?  https://t.co/HGYBP527Iu   #google #CoronaVac #coronavirus #apple #ios #iphone #AppleRetweetBot #vemvacina #wwdc21 #appleevent #juntos,pt,[],['https://youtu.be/lyOyMyX8PSE'],[],0,0,0,"['google', 'coronavac', 'coronavirus', 'apple', 'ios', 'iphone', 'appleretweetbot', 'vemvacina', 'wwdc21', 'appleevent', 'juntos']",[],https://twitter.com/Toninho08116107/status/1437248316312625156,False,,0,,,,,,,,[],,,,
